N° Frame;Accuracy g4
0;0
1;0
2;0
3;85
4;85
5;85
6;86
7;87
8;88
9;88
10;89
11;89
12;89
13;89
14;89
15;89
16;89
17;89
18;89
19;89
20;89
21;89
22;89
23;89
24;89
25;89
26;88
27;88
28;88
29;88
30;89
31;89
32;89
33;90
34;91
35;92
36;91
37;91
38;90
39;89
40;89
41;89
42;89
43;89
44;88
45;88
46;88
47;88
48;88
49;89
50;90
51;90
52;90
53;90
54;90
55;90
56;91
57;91
58;90
59;90
60;90
61;90
62;88
63;86
64;84
65;80
66;79
67;76
68;77
69;77
70;80
71;81
72;81
73;79
74;76
75;76
76;76
77;78
78;78
79;78
80;79
81;79
82;80
83;78
84;77
85;77
86;78
87;80
88;82
89;83
90;84
91;82
92;80
93;79
94;79
95;78
96;76
97;74
98;76
99;76
100;74
101;70
102;65
103;60
104;56
105;53
106;59
107;62
108;64
109;61
110;59
111;59
112;58
113;59
114;64
115;69
116;69
117;64
118;61
119;57
120;55
121;58
122;61
