N° Frame;Accuracy g13
0;0
1;0
2;0
3;66
4;65
5;65
6;65
7;66
8;68
9;70
10;70
11;70
12;70
13;69
14;69
15;69
16;70
17;69
18;69
19;70
20;71
21;72
22;73
23;73
24;73
25;72
26;74
27;76
28;79
29;78
30;78
31;77
32;77
33;77
34;76
35;76
36;75
37;77
38;78
39;80
40;80
41;80
42;81
43;82
44;82
45;83
46;83
47;82
48;82
49;82
50;82
51;82
52;84
53;84
54;86
55;86
56;85
57;84
58;83
59;83
60;83
61;82
62;81
63;79
64;73
65;68
66;63
67;64
68;59
69;57
70;57
71;57
72;55
73;58
74;58
75;59
76;62
77;69
78;69
79;57
80;66
81;75
82;77
83;78
84;78
85;81
86;85
87;88
88;88
89;89
90;91
91;93
92;93
93;93
94;93
95;94
96;94
97;94
98;95
99;95
100;96
101;96
102;96
103;96
104;96
105;96
106;96
107;96
108;96
109;95
110;93
111;91
112;90
113;90
114;91
115;92
116;91
117;86
118;78
119;83
120;87
121;89
122;92
