
Frame 1:

Frame 2:

Frame 3:
7: person           86% - Location - xc:   916, yc:   306, width:    23, height:    49
8: person           85% - Location - xc:  1174, yc:   248, width:    19, height:    43
9: person           81% - Location - xc:   198, yc:   314, width:    19, height:    44
10: person           79% - Location - xc:   529, yc:   195, width:    13, height:    32
11: person           76% - Location - xc:   875, yc:   228, width:    15, height:    31
12: person           74% - Location - xc:  1227, yc:   307, width:    19, height:    44
13: person           70% - Location - xc:   201, yc:   380, width:    20, height:    55
14: person           69% - Location - xc:  1090, yc:   203, width:    18, height:    35
15: person           55% - Location - xc:   642, yc:   368, width:  1106, height:   495
16: person           55% - Location - xc:   507, yc:   637, width:    27, height:    56
17: person           52% - Location - xc:   680, yc:   345, width:    15, height:    35

Frame 10:
1: person           92% - Location - xc:  1000, yc:   355, width:    21, height:    46
2: person           92% - Location - xc:   337, yc:   197, width:    18, height:    39
3: person           92% - Location - xc:   254, yc:   254, width:    21, height:    46
4: person           90% - Location - xc:   387, yc:   284, width:    18, height:    47
5: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
6: person           86% - Location - xc:   659, yc:   457, width:    18, height:    53
7: person           86% - Location - xc:  1174, yc:   248, width:    19, height:    43
8: person           85% - Location - xc:   917, yc:   307, width:    22, height:    50
9: person           82% - Location - xc:   198, yc:   314, width:    19, height:    44
10: person           76% - Location - xc:   530, yc:   195, width:    14, height:    32
11: person           76% - Location - xc:   875, yc:   228, width:    15, height:    31
12: person           73% - Location - xc:  1227, yc:   307, width:    18, height:    43
13: person           71% - Location - xc:  1090, yc:   203, width:    18, height:    35
14: person           70% - Location - xc:   201, yc:   380, width:    20, height:    55
15: person           55% - Location - xc:   642, yc:   368, width:  1106, height:   493
16: person           54% - Location - xc:   507, yc:   637, width:    27, height:    56
17: person           53% - Location - xc:   681, yc:   346, width:    16, height:    36

Frame 11:
1: person           93% - Location - xc:  1001, yc:   355, width:    21, height:    46
2: person           92% - Location - xc:   255, yc:   254, width:    21, height:    46
3: person           92% - Location - xc:   337, yc:   197, width:    18, height:    39
4: person           90% - Location - xc:   387, yc:   284, width:    18, height:    47
5: person           89% - Location - xc:  1060, yc:   280, width:    19, height:    40
6: person           87% - Location - xc:  1175, yc:   249, width:    19, height:    42
7: person           85% - Location - xc:   659, yc:   457, width:    18, height:    53
8: person           84% - Location - xc:   917, yc:   307, width:    22, height:    50
9: person           82% - Location - xc:   198, yc:   314, width:    19, height:    44
10: person           78% - Location - xc:   875, yc:   228, width:    15, height:    30
11: person           73% - Location - xc:   530, yc:   194, width:    13, height:    31
12: person           73% - Location - xc:  1227, yc:   307, width:    18, height:    43
13: person           72% - Location - xc:  1090, yc:   203, width:    18, height:    35
