N° Frame;Accuracy g1
0;0
1;0
2;0
3;93
4;93
5;93
6;93
7;93
8;92
9;92
10;92
11;92
12;92
13;91
14;89
15;88
16;87
17;87
18;88
19;90
20;89
21;86
22;84
23;84
24;85
25;84
26;83
27;81
28;79
29;77
30;75
31;79
32;83
33;87
34;89
35;89
36;90
37;88
38;88
39;87
40;90
41;92
42;93
43;93
44;92
45;92
46;91
47;91
48;91
49;91
50;90
51;90
52;90
53;90
54;89
55;88
56;86
57;86
58;87
59;89
60;90
61;90
62;89
63;88
64;87
65;87
66;88
67;90
68;91
69;92
70;92
71;91
72;91
73;90
74;90
75;90
76;90
77;91
78;91
79;92
80;91
81;88
82;87
83;86
84;86
85;86
86;86
87;86
88;86
89;87
90;85
91;84
92;81
93;75
94;69
95;64
96;62
97;70
98;77
99;81
100;81
101;81
102;82
103;83
104;83
105;83
106;77
107;73
108;77
109;80
110;85
111;87
112;85
113;83
114;82
115;81
116;82
117;80
118;80
119;78
120;77
121;73
122;69
