N° Frame;Accuracy g9
0;0
1;0
2;0
3;76
4;77
5;80
6;83
7;86
8;86
9;86
10;85
11;84
12;83
13;82
14;82
15;82
16;82
17;82
18;82
19;81
20;80
21;80
22;81
23;81
24;82
25;81
26;81
27;79
28;78
29;76
30;76
31;76
32;75
33;75
34;74
35;74
36;74
37;75
38;75
39;76
40;76
41;76
42;77
43;77
44;77
45;76
46;76
47;76
48;78
49;79
50;78
51;75
52;75
53;76
54;78
55;80
56;81
57;84
58;87
59;89
60;89
61;90
62;89
63;86
64;78
65;64
66;64
67;64
68;64
69;64
70;64
71;64
72;64
73;64
74;64
75;64
76;64
77;64
78;64
79;64
80;64
81;64
82;64
83;64
84;64
85;64
86;64
87;64
88;64
89;64
90;64
91;64
92;64
93;64
94;64
95;64
96;64
97;64
98;64
99;64
100;64
101;64
102;64
103;64
104;64
105;64
106;64
107;64
108;64
109;64
110;64
111;64
112;64
113;64
114;64
115;64
116;64
117;64
118;64
119;64
120;64
121;64
122;64
