N° Frame;Accuracy g10
0;0
1;0
2;0
3;73
4;75
5;76
6;77
7;77
8;76
9;76
10;76
11;78
12;80
13;80
14;78
15;77
16;75
17;72
18;68
19;66
20;67
21;69
22;73
23;75
24;78
25;80
26;81
27;81
28;82
29;83
30;83
31;85
32;86
33;87
34;88
35;89
36;89
37;87
38;86
39;86
40;86
41;86
42;86
43;87
44;86
45;86
46;85
47;85
48;85
49;85
50;84
51;84
52;85
53;86
54;87
55;83
56;80
57;77
58;79
59;80
60;78
61;76
62;68
63;60
64;51
65;51
66;51
67;51
68;51
69;51
70;51
71;50
72;50
73;50
74;50
75;50
76;50
77;50
78;50
79;50
80;50
81;52
82;56
83;58
84;54
85;54
86;55
87;60
88;58
89;60
90;64
91;68
92;65
93;59
94;54
95;54
96;52
97;51
98;51
99;51
100;52
101;54
102;52
103;54
104;55
105;54
106;54
107;54
108;54
109;54
110;54
111;54
112;54
113;54
114;54
115;54
116;54
117;54
118;54
119;54
120;54
121;54
122;54
