N° Frame;Accuracy g5
0;0
1;0
2;0
3;84
4;84
5;83
6;81
7;80
8;80
9;79
10;76
11;73
12;71
13;70
14;71
15;71
16;75
17;78
18;82
19;84
20;86
21;87
22;88
23;89
24;89
25;88
26;86
27;85
28;85
29;83
30;82
31;78
32;75
33;68
34;64
35;60
36;64
37;66
38;64
39;52
40;59
41;65
42;70
43;74
44;75
45;72
46;74
47;72
48;67
49;65
50;71
51;81
52;84
53;84
54;84
55;83
56;77
57;67
58;60
59;60
60;60
61;60
62;60
63;60
64;60
65;60
66;60
67;60
68;60
69;60
70;60
71;60
72;60
73;60
74;60
75;60
76;60
77;60
78;60
79;60
80;60
81;60
82;60
83;60
84;60
85;60
86;60
87;60
88;60
89;60
90;60
91;60
92;60
93;60
94;60
95;60
96;60
97;60
98;60
99;60
100;60
101;60
102;60
103;60
104;60
105;60
106;60
107;60
108;60
109;60
110;60
111;60
112;60
113;60
114;60
115;60
116;60
117;60
118;60
119;60
120;60
121;60
122;60
