N° Frame;Accuracy g11
0;0
1;0
2;0
3;60
4;60
5;60
6;59
7;58
8;57
9;55
10;55
11;54
12;53
13;54
14;55
15;56
16;55
17;56
18;57
19;57
20;56
21;56
22;56
23;56
24;57
25;57
26;59
27;59
28;59
29;58
30;57
31;58
32;59
33;61
34;62
35;63
36;63
37;62
38;59
39;56
40;54
41;55
42;56
43;57
44;58
45;60
46;62
47;63
48;62
49;62
50;63
51;66
52;67
53;69
54;66
55;63
56;60
57;59
58;56
59;56
60;61
61;68
62;70
63;65
64;58
65;51
66;51
67;57
68;65
69;70
70;70
71;68
72;65
73;63
74;60
75;58
76;53
77;52
78;51
79;52
80;53
81;55
82;55
83;55
84;55
85;55
86;57
87;60
88;60
89;60
90;61
91;58
92;54
93;51
94;51
95;51
96;51
97;51
98;51
99;51
100;51
101;51
102;51
103;51
104;51
105;51
106;51
107;51
108;51
109;51
110;51
111;51
112;51
113;51
114;51
115;51
116;54
117;57
118;56
119;54
120;52
121;52
122;52
