N° Frame;Accuracy g8
0;0
1;0
2;0
3;81
4;79
5;78
6;78
7;81
8;83
9;85
10;86
11;87
12;87
13;84
14;81
15;80
16;81
17;81
18;79
19;76
20;75
21;74
22;73
23;73
24;75
25;78
26;80
27;81
28;81
29;81
30;82
31;83
32;84
33;84
34;85
35;86
36;86
37;84
38;82
39;80
40;79
41;80
42;80
43;81
44;80
45;81
46;81
47;77
48;73
49;72
50;74
51;75
52;74
53;75
54;73
55;69
56;66
57;65
58;66
59;68
60;69
61;68
62;63
63;57
64;54
65;53
66;53
67;50
68;50
69;50
70;50
71;50
72;50
73;50
74;50
75;50
76;50
77;50
78;50
79;50
80;50
81;50
82;50
83;50
84;50
85;50
86;52
87;52
88;52
89;52
90;52
91;50
92;53
93;52
94;52
95;56
96;59
97;57
98;55
99;50
100;52
101;53
102;53
103;52
104;53
105;56
106;60
107;62
108;63
109;61
110;58
111;58
112;56
113;55
114;56
115;57
116;58
117;57
118;56
119;55
120;57
121;60
122;62
