N° Frame;Accuracy g3
0;0
1;0
2;0
3;89
4;90
5;90
6;90
7;90
8;90
9;89
10;90
11;90
12;90
13;90
14;91
15;91
16;91
17;90
18;90
19;90
20;91
21;91
22;90
23;91
24;91
25;92
26;93
27;93
28;93
29;93
30;93
31;93
32;94
33;94
34;94
35;94
36;94
37;94
38;93
39;93
40;93
41;94
42;94
43;94
44;94
45;94
46;94
47;94
48;94
49;94
50;94
51;94
52;94
53;94
54;94
55;92
56;91
57;91
58;92
59;92
60;92
61;91
62;91
63;91
64;93
65;92
66;93
67;94
68;94
69;94
70;94
71;95
72;95
73;95
74;95
75;95
76;96
77;95
78;95
79;94
80;95
81;95
82;95
83;95
84;95
85;95
86;96
87;96
88;97
89;97
90;98
91;97
92;97
93;96
94;96
95;97
96;96
97;96
98;94
99;93
100;93
101;93
102;93
103;91
104;91
105;92
106;95
107;96
108;97
109;96
110;95
111;94
112;94
113;94
114;94
115;94
116;93
117;93
118;92
119;92
120;87
121;89
122;87
