N° Frame;Accuracy g12
0;0
1;0
2;0
3;72
4;74
5;76
6;77
7;76
8;75
9;74
10;73
11;73
12;73
13;73
14;72
15;72
16;74
17;74
18;76
19;76
20;77
21;76
22;76
23;76
24;76
25;75
26;74
27;73
28;73
29;73
30;73
31;73
32;73
33;73
34;73
35;73
36;72
37;70
38;68
39;68
40;69
41;70
42;71
43;69
44;67
45;67
46;67
47;69
48;69
49;69
50;70
51;69
52;69
53;69
54;69
55;68
56;67
57;67
58;69
59;70
60;72
61;72
62;73
63;73
64;74
65;76
66;77
67;78
68;78
69;79
70;79
71;80
72;81
73;80
74;80
75;80
76;83
77;84
78;83
79;80
80;77
81;72
82;70
83;67
84;67
85;66
86;64
87;62
88;65
89;70
90;76
91;79
92;80
93;80
94;80
95;78
96;76
97;73
98;76
99;77
100;80
101;79
102;79
103;81
104;83
105;86
106;88
107;89
108;89
109;88
110;88
111;87
112;87
113;86
114;84
115;84
116;84
117;84
118;84
119;84
120;84
121;85
122;86
